param,gene,rhat,ess_bulk,ess_tail,rhat_issue,ess_issue
beta,GUCY2F,1.0014015947847235,4532.218795191234,1824.86906967894,False,False
beta,NR2C1,1.0010297723477573,4717.66731781739,1936.4105649448923,False,False
beta,STOML1,0.9996766908095474,4659.349166603761,1500.8991471759105,False,False
beta,DNLZ,1.0038895387041453,4274.214091210003,1998.7868599737865,False,False
beta,FBL,1.0014911402307947,5022.118553178198,1683.363516227853,False,False
beta,HGH1,1.00240223652492,4958.204679583242,1712.2083527348163,False,False
beta,RPS6,1.0002233812200028,4449.775508264385,1789.070147528273,False,False
beta,ATP6V1A,1.0020938040201797,4143.814723975699,1567.0468406293421,False,False
beta,FAM117A,1.0038788248274348,5002.595477499645,1802.2945186283207,False,False
beta,EIF2S2,1.002526087363532,4878.121201932129,1733.47502998379,False,False
beta,KRTAP9-4,1.0035468666236318,4392.284863934147,1576.1104526963736,False,False
beta,LCP1,1.0002967954902593,5309.920289468973,2053.3149130965166,False,False
beta,DCAF12,0.9994213018825716,3986.4604719471918,1928.7561728135845,False,False
beta,NPDC1,1.0006724672394192,5338.818248409112,1695.855520498548,False,False
beta,E2F8,1.0004409107095575,4198.5199834227105,1737.1334480683206,False,False
beta,PDCD6,1.0011447067137245,4394.303793178484,2167.170282330215,False,False
beta,CFAP20,1.0062212790486063,4192.29905263585,1503.5781715801659,False,False
beta,RPS15,1.0025076425931914,5468.85289567089,1946.3689995775046,False,False
beta,ACRV1,1.0020848899103312,4095.7416578567513,1871.007219263455,False,False
beta,AK6,1.0029624741104768,4819.986178468154,1904.891971698326,False,False
beta,APBA2,1.0006620681579979,4105.9465536133675,2006.5760301530058,False,False
beta,RBM28,1.0009465486051525,5170.855757994131,2246.426878286923,False,False
beta,ZNF827,1.0019558614258501,3934.6800571415065,1775.9677498290637,False,False
beta,NRIP1,1.000684318026166,4637.373272452265,1810.8950741168896,False,False
beta,TDO2,1.0002009723830143,4091.8056716262176,1945.9786666189552,False,False
beta,ZNF561,1.0035823429053965,4329.84091883684,1883.8819334554742,False,False
beta,AMHR2,1.0004855670109758,3924.5954144857446,1738.0329839975655,False,False
beta,KIR2DS4,1.0008606200034342,3901.4892100947754,1851.1938389545385,False,False
beta,NTF4,1.0002932819595851,4220.367601049526,1992.8262635608826,False,False
beta,SPATA25,1.001770037030936,4398.397181207569,1599.9776255385127,False,False
beta,EPHB4,1.004524327051403,5463.6440671488945,1897.693240823707,False,False
beta,MBIP,1.0019458927807425,4319.155382694467,1719.6182044897544,False,False
beta,HNRNPA3,1.001262896753825,3752.9754245519994,2006.2944046675645,False,False
beta,HSD17B14,1.0010362271138953,3750.265283576045,1788.4896717098845,False,False
beta,C1orf116,1.0014924635702702,4664.290194189517,1907.0847780340769,False,False
beta,INHBE,1.0065626884083319,4504.451510255202,1509.2792640859245,False,False
beta,PRPF19,1.0022948865180483,5029.703439267612,1978.5785919810298,False,False
beta,RNASEH2B,1.002378966752804,4630.148612751161,1701.3204318092608,False,False
beta,CCDC17,1.001011279521184,4398.249353648349,1559.231924194532,False,False
beta,PPP2R4,1.0049906929799184,4197.521480437813,1555.0121112831273,False,False
beta,LYPLAL1,1.0009776893483924,5306.680714149523,1984.9207976161017,False,False
beta,VPS16,1.0014447749184203,4532.148222316185,1934.405370817791,False,False
beta,STXBP4,1.0018189793076848,3820.405843392901,1839.2915561231039,False,False
beta,EGFLAM,1.0007349365990748,4529.257587414694,1956.2535662253024,False,False
beta,GNPAT,1.0028430584818784,4933.995294273387,1975.2318774877251,False,False
beta,KRTAP2-4,1.001077224344701,4664.032549899523,1658.203272565419,False,False
beta,HOXC10,1.0011634192593382,4656.599057126288,2084.2882722112868,False,False
beta,PRAMEF17,1.000853216006756,4592.027677790471,1957.6321243551286,False,False
beta,PIWIL2,1.0007333498604878,5037.121144028402,1686.0963600368655,False,False
beta,RASGEF1B,1.0014011163524381,4269.250210502388,1905.1013299417025,False,False
beta,WNT3A,1.0012155838760353,4280.538249174958,1701.344495979042,False,False
beta,LACTB2,1.0021637681747033,4474.135584987586,1935.3989050999587,False,False
beta,ABCA5,1.0036917849082845,3915.2765651153336,1994.7524851870023,False,False
beta,OTOR,1.0061299358893359,5057.780473786126,1996.1366562912672,False,False
beta,PROKR2,1.0045060011088005,4847.143125063681,1890.5100127239043,False,False
beta,GLRX3,1.0000880080019725,4990.178393840111,2020.7453640742433,False,False
beta,MRPS5,1.0000002359049733,3985.305295289239,1643.2270741320185,False,False
beta,C1orf68,1.0007357288351644,4949.397048794604,1841.5938069659946,False,False
beta,CFB,1.0009553758874754,4711.831371609647,2074.3374238900374,False,False
beta,ANGPTL4,0.9994631429853221,4626.251972017555,1948.8886588478435,False,False
beta,OR5B2,1.002369322458144,4561.128845726011,2020.2276970009987,False,False
beta,CMTM1,1.0006511657828412,5155.9176309667055,2000.965737588232,False,False
beta,BEND3,1.00124728642404,3764.4745169650823,1808.7222421057138,False,False
beta,C1S,0.9997902880826176,5473.689113509655,1948.7579759181965,False,False
beta,PCYT2,1.0002717495908975,4644.837557658957,1709.5939186295038,False,False
beta,ATP5D,1.0017237441890736,5724.345674460639,1888.5628437167022,False,False
beta,ASCC2,1.0019486610320822,5781.030293545155,1770.5791923404838,False,False
beta,SPINK6,1.000446278286809,3787.886847659322,1930.8597166724928,False,False
beta,MGAT4D,1.0005945107076581,4055.0864789690622,2013.1089640496243,False,False
beta,UNKL,1.000715738904866,3914.5464096553796,1748.9487797248107,False,False
beta,RASSF4,1.0016808236945305,4207.421922303765,1784.417851681765,False,False
beta,ZFP42,0.9997678829480418,5192.584161963891,2274.674128259403,False,False
beta,CNGA1,1.003559959960348,5421.4686574175485,1710.4762779595883,False,False
beta,IRF2BP2,0.9999799355617894,5688.000329531252,1995.4859813252597,False,False
beta,C19orf81,0.9997560032504123,4918.992388738214,1637.8552349140255,False,False
beta,GFRA4,0.9999618503218706,3886.3559960026723,1881.8772670269532,False,False
beta,IQCC,0.9999438997002202,5485.349284092612,1875.6076022461307,False,False
beta,KIR2DL3,0.99987111037888,4585.030040648714,2062.7348233448233,False,False
beta,USP15,0.9999485707362324,3894.027009111456,2259.487295999039,False,False
beta,SLC25A27,1.002283788775573,4992.795173787117,1675.7889076905858,False,False
beta,GTF2I,1.0013952452685948,4489.82441645703,2077.8339078440845,False,False
beta,ISG15,0.9998600312469866,5102.854770012154,2073.3380824638352,False,False
beta,FAM9C,1.001903106054484,4134.635317635155,1831.9451048690569,False,False
beta,NAIF1,1.0002459633936047,5333.172869160344,1719.3056151270698,False,False
beta,KLK3,1.0004640484440293,3900.096646741678,1690.6515949635207,False,False
beta,GTDC1,1.0015825429613052,4653.763258063587,1922.7264368101703,False,False
beta,SPATA31A3,1.0035937857636956,4246.051867503435,1928.560208132738,False,False
beta,HARBI1,1.0024959026375055,4794.732996826331,1599.0603412842513,False,False
beta,PTPN21,1.0033457464319488,4696.515113027981,1607.5019284298364,False,False
beta,PBK,1.001419123521967,3816.8906129610605,1722.8610743278468,False,False
beta,MMEL1,1.0028577203638296,4685.537143026848,1875.0980730548151,False,False
beta,NGFR,1.0039343873755806,4303.188216143708,1711.1348400724225,False,False
beta,TARS,1.0040841610307198,4831.472157947279,1899.7350176403368,False,False
beta,KLHL31,1.0003712057538265,5388.085643119313,1997.3168320851964,False,False
beta,TACO1,1.0020632077960179,5203.000322623825,1584.2410598428507,False,False
beta,ULK3,1.0007524989465144,4331.507392604723,1649.2695891612211,False,False
beta,MUC5B,0.9992702713267979,4956.28735403257,1601.4050874950196,False,False
beta,TXNL1,1.0003331106237168,4486.20081791816,1810.3424678717627,False,False
beta,PAGE1,1.0004986316095763,5229.979891890072,2061.065441228408,False,False
beta,ZNF251,1.0005055823511702,4537.5056197386275,1751.731319851001,False,False
beta,ADAMTS8,1.0032677922998718,4156.192867949837,1782.6467122991726,False,False
beta,GAGE12C,1.0031516188474423,5032.8498180827955,1730.309169391346,False,False
beta,RARA,1.0067909575675165,4346.0880431144615,2132.5290699684765,False,False
beta,MINOS1,1.0042192889500088,4816.092334908495,2154.773020713059,False,False
beta,UPB1,1.0024816512875048,4226.267583497097,1336.7123469704077,False,False
beta,KCNIP4,0.9999493740143659,4639.395721927422,2050.732995481375,False,False
beta,C9orf9,1.0016053914269156,5064.132943355211,2128.2645222941314,False,False
beta,GPLD1,1.0007916475609857,4267.734409789567,2058.0233019173447,False,False
beta,NOC3L,1.0005377011648475,4452.7729209119,1849.2924654880967,False,False
beta,FOXD4,1.00069329341032,3518.366416926672,1919.115730959439,False,False
beta,PLB1,1.0037260964369343,3474.840425643451,2113.6493911952093,False,False
beta,WDR45B,1.000758082193336,5685.66695887764,1977.2344495479474,False,False
beta,APBA3,1.0010168970029452,5361.0634902711445,1530.815634578337,False,False
beta,CPT2,1.003789613950679,3947.333669541701,1741.3034739884974,False,False
beta,CHRDL1,0.9999983999118357,4696.608191396539,1842.2074520923723,False,False
beta,IFIT5,0.9996499125057513,5283.72778948746,2125.6037542282047,False,False
beta,DUSP7,1.0010258603138804,5099.547676309017,1977.8785304471462,False,False
beta,HIST1H2AJ,0.9998296789029961,4712.136574999737,2000.4054440217476,False,False
beta,STX1B,1.0000712662414768,5284.519926205182,1971.441823860662,False,False
beta,LIN52,0.9993783832802403,4916.185091579991,2234.1402937454095,False,False
beta,DPM1,1.003623474028846,4420.069520996001,1825.5720684014805,False,False
beta,RALBP1,0.9995711813584623,4963.426016861015,1830.5242011747725,False,False
beta,HTR3E,1.0029420405671516,4303.978253984805,1537.846854745722,False,False
beta,RING1,1.000964768168784,3989.4786708529437,1693.1065994209353,False,False
beta,MTSS1L,1.00178993321212,4587.84176390722,1982.6064483580262,False,False
beta,BHLHB9,1.0009871388660372,4301.134560931214,1693.921438781168,False,False
beta,ZNF514,1.003608070646757,4897.848687518048,1814.284756404932,False,False
beta,PAFAH2,1.0004773851217492,6074.943438901618,2082.658079564779,False,False
beta,C11orf44,1.0052613753948603,4663.185667850489,1807.9880489965103,False,False
beta,PHF20,1.0012884305183498,4865.177444377746,1702.4339385390233,False,False
beta,POU3F1,1.0011966136323538,5288.475552066629,1848.3750548252033,False,False
beta,RFX1,1.0014983740453796,4559.784232125562,2053.5298761324498,False,False
beta,LONRF3,0.9998905736764492,4140.505668546356,1881.7471542317187,False,False
beta,HPD,1.0006269690755045,3979.666026573618,1925.2922370861654,False,False
beta,RNF144B,1.0015109016703443,4423.598823901086,2115.3896997263564,False,False
beta,RPL26L1,1.0037936840748325,4133.104036713303,1478.8762920506902,False,False
beta,ZNF319,1.004058472017234,5070.7936176598805,1958.7935938629378,False,False
beta,HAP1,1.002239287329582,4848.361898221788,1721.3334339457765,False,False
beta,ZNF823,1.0039204852295587,3939.997606554592,1589.1295304481605,False,False
beta,FGF16,1.0043289734881475,3908.5344419733974,1952.149147200584,False,False
beta,CILP2,1.0016951634334756,4823.391143155649,2133.7547340175383,False,False
beta,C12orf42,1.0034016839992368,5087.096700331403,1954.121395514784,False,False
beta,GSTT2B,0.9994019416099047,4946.393689439495,2142.289716872155,False,False
beta,SPOCD1,1.0029375752944776,5136.231284383539,1963.037688412215,False,False
beta,KCND2,0.9999858020708031,4018.139640151416,1866.0205465147549,False,False
beta,GFM1,1.000088780944206,4586.881789094588,1614.9411199473325,False,False
beta,MVD,1.003382146128386,4980.614128132898,1979.069124860108,False,False
beta,MRPL27,1.00204096608311,4142.910847923568,1799.3445247488837,False,False
beta,ANKRD12,1.0004494992052428,4834.160822446062,1758.3471648250365,False,False
beta,SUSD5,1.0036661040241253,4964.36937603883,2066.468514715487,False,False
beta,LRRC3B,1.0007266075343273,4439.081419158026,1891.4800863611008,False,False
beta,TMEM67,0.9999474093280338,5324.096925639769,1932.6105181738892,False,False
beta,OSBPL3,1.0027930478369993,4318.059653639678,2053.543330469472,False,False
beta,IPP,1.0041230969006594,3700.476527179606,1640.0104524121116,False,False
beta,SPSB2,1.0012660494464127,5181.525112293368,1607.9304014054665,False,False
beta,FAM136A,1.0006945662302464,4118.86403437803,1881.636576200496,False,False
beta,SKP2,1.0010355278456813,4336.993842754045,2144.2196762718245,False,False
beta,RNASEH2A,1.000690480351992,3755.2844590456793,1394.8148925757316,False,False
beta,INCENP,1.0004142339693312,3847.6917717324714,1758.7250466773542,False,False
beta,FBXO28,1.0012836137897123,4306.492398562269,2159.1543957039044,False,False
beta,MPDZ,1.0012086634621837,3641.04488609222,1786.0627037249328,False,False
beta,C2CD5,1.0005969285123595,4349.862032661216,1774.7088085866774,False,False
beta,ZNF468,1.0009856824911916,4892.012098599049,1572.946723865055,False,False
beta,VSTM1,1.0055755691203234,4205.092721167842,1843.1344604370306,False,False
beta,CAPN1,1.002067018162076,4339.5398800268595,1960.3974160730113,False,False
beta,MAP3K7,1.0003061159796542,4804.960323269892,1500.6746818841905,False,False
beta,EPHX3,1.0022808073616725,5424.116235718887,1901.1408573874248,False,False
