id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
ZNF234,4,0.1407,0.2479,1.0,4596,2,-0.16906,0.69029,0.69802,1.0,12735,1,-0.16906
FCGR2A,4,0.14071,0.24791,1.0,4597,2,-0.2169,0.83538,0.83476,1.0,15445,0,-0.2169
ZNF571,4,0.14076,0.24796,1.0,4598,2,-0.027787,0.28517,0.41625,1.0,7375,2,-0.027787
MAGEA6,4,0.14077,0.24798,1.0,4599,2,0.070489,0.23733,0.3626,1.0,6369,2,0.070489
MCAT,4,0.14085,0.24807,1.0,4600,2,-0.11106,0.10353,0.21043,1.0,3684,1,-0.11106
OR6C2,4,0.14092,0.24816,1.0,4601,2,-0.13117,0.63167,0.65399,1.0,11879,1,-0.13117
GDI2,4,0.14098,0.24822,1.0,4602,2,-0.23959,0.10285,0.20963,1.0,3672,1,-0.23959
SYNPO,4,0.14099,0.24824,1.0,4603,2,0.0076891,0.19539,0.31525,1.0,5526,2,0.0076891
ZNF331,4,0.14113,0.24841,1.0,4604,1,-0.033145,0.68038,0.69014,1.0,12585,1,-0.033145
FAM129B,4,0.14122,0.24851,1.0,4605,2,-0.074551,0.53788,0.59317,1.0,10699,1,-0.074551
PYCR1,4,0.14126,0.24854,1.0,4606,2,-0.18366,0.78323,0.78282,1.0,14347,0,-0.18366
