gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
C3orf79,-0.11757130049807366,0.3396799930876119,0.363,0.363,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
C9orf66,-0.25251539048139393,0.3238969305591587,0.21,0.21,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CAPRIN1,0.1500104447050004,0.3641909544747745,0.673,0.32699999999999996,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CBFB,0.9376461902523926,0.3973691773520027,0.993,0.007000000000000006,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CCDC6,-0.8227596393202806,0.35665676672459334,0.011,0.011,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CCNC,-0.9418486554528679,0.3651618237547418,0.004,0.004,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CCNH,0.39625813888243366,0.3765170484873495,0.846,0.15400000000000003,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CCNK,0.09000199438208369,0.3418869816161839,0.619,0.381,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CD247,0.22562161479509485,0.37883238772326067,0.724,0.276,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CD3D,1.080651116199533,0.4286955274882418,0.995,0.0050000000000000044,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CD3E,0.8258400880440394,0.38379505393208546,0.983,0.017000000000000015,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CD3G,0.12282987760676929,0.3528532311553082,0.648,0.352,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CDC37,0.5374029404735825,0.3904930613701681,0.913,0.08699999999999997,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CDK12,0.39752762816058534,0.3572047938992786,0.861,0.139,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CDS2,0.1541911678975593,0.37526652101733066,0.664,0.33599999999999997,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CEP72,-0.06769131788417501,0.3424756905700873,0.424,0.424,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
CLDN25,-0.3529555196100608,0.3135934619166635,0.137,0.137,0.6821499285697235,1.5372842964563747,0.38240610410306286,16,4,4,500
