gene,beta_mean_nuts,beta_sd_nuts,psp_nuts,lfsr_nuts,psp_draws,lfsr_draws,p_beta_gt_0,p_beta_lt_0,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,n_obs,n_sgrna,n_sample,chains,draws,tune,hit
PACSIN1,-0.1670109282145354,0.1065337310197488,0.061,0.061,0.061,0.061,0.061,0.939,0.0945,0.0015,16,4,4,2,1000,1000,False
PAF1,0.2191456818443257,0.116339575322765,0.9655,0.0344999999999999,0.9655,0.034499999999999975,0.9655,0.0345,0.2355,0.0055,16,4,4,2,1000,1000,False
PAGE1,0.109067670091029,0.0954602705119163,0.878,0.122,0.878,0.122,0.878,0.122,0.022,0.0,16,4,4,2,1000,1000,False
PAGE2,0.1386522586929738,0.0922319040059022,0.928,0.0719999999999999,0.928,0.07199999999999995,0.928,0.072,0.042,0.0,16,4,4,2,1000,1000,False
PAGE2B,0.244136895639307,0.1025945315708839,0.992,0.008,0.992,0.008000000000000007,0.992,0.008,0.292,0.0045,16,4,4,2,1000,1000,False
PAH,-0.1338621751795188,0.1018906073314119,0.0935,0.0935,0.0935,0.0935,0.0935,0.9065,0.052,0.0005,16,4,4,2,1000,1000,False
PAICS,-0.8375902417804286,0.1520740800160727,0.0,0.0,0.0,0.0,0.0,1.0,0.9995,0.984,16,4,4,2,1000,1000,True
PAIP2,-0.0892064277182392,0.0910282758122133,0.1575,0.1575,0.1575,0.1575,0.1575,0.8425,0.011,0.0,16,4,4,2,1000,1000,False
PAK4,-0.1573309583785416,0.1152383636459938,0.0855,0.0855,0.0855,0.0855,0.0855,0.9145,0.1085,0.002,16,4,4,2,1000,1000,False
PANK1,-0.1414250563311835,0.12146790710024,0.1245,0.1245,0.1245,0.1245,0.1245,0.8755,0.095,0.0005,16,4,4,2,1000,1000,False
PAPOLB,-0.1510869417432928,0.1007022102840949,0.0595,0.0595,0.0595,0.0595,0.0595,0.9405,0.0705,0.0005,16,4,4,2,1000,1000,False
PAPOLG,0.290037212316665,0.1297483081340302,0.9767441860465116,0.0232558139534884,0.9767441860465116,0.023255813953488413,0.9767441860465116,0.023255813953488372,0.4883720930232558,0.06976744186046512,16,4,4,2,1000,1000,False
PAQR3,-0.1273813668150747,0.1137723902568909,0.14,0.14,0.14,0.14,0.14,0.86,0.066,0.0005,16,4,4,2,1000,1000,False
PARD3B,-0.1574755269968484,0.1048243920690181,0.0595,0.0595,0.0595,0.0595,0.0595,0.9405,0.0845,0.0015,16,4,4,2,1000,1000,False
PARD6G,-0.1767791773023485,0.105723849604858,0.056,0.056,0.056,0.056,0.056,0.944,0.1215,0.0005,16,4,4,2,1000,1000,False
PARP4,0.2264554149109582,0.1015990578271067,0.99,0.01,0.99,0.010000000000000009,0.99,0.01,0.2345,0.0005,16,4,4,2,1000,1000,False
PARVB,0.2605434985036535,0.1451724700969961,0.9302325581395348,0.0697674418604651,0.9302325581395349,0.06976744186046513,0.9302325581395349,0.06976744186046512,0.3488372093023256,0.06976744186046512,16,4,4,2,1000,1000,False
PASD1,-0.1023340517692939,0.1128501449814037,0.181,0.181,0.181,0.181,0.181,0.819,0.042,0.0005,16,4,4,2,1000,1000,False
PATE3,-0.1190321310566463,0.0954281296346945,0.102,0.102,0.102,0.102,0.102,0.898,0.03,0.0,16,4,4,2,1000,1000,False
PAX3,-0.0204626875026142,0.0901042281245027,0.4135,0.4135,0.4135,0.4135,0.4135,0.5865,0.0015,0.0,16,4,4,2,1000,1000,False
PAX7,-0.1109687380496848,0.1113793641055186,0.1545,0.1545,0.1545,0.1545,0.1545,0.8455,0.041,0.0,16,4,4,2,1000,1000,False
PAXBP1,0.0549454499103052,0.170373237674497,0.6235,0.3764999999999999,0.927,0.07299999999999995,0.927,0.073,0.3045,0.034,16,4,4,2,1000,1000,False
PBK,0.1772384989051132,0.0919405131052807,0.974,0.026,0.974,0.026000000000000023,0.974,0.026,0.0845,0.0005,16,4,4,2,1000,1000,False
PCBP1,0.1404104874492177,0.1542639739196992,0.8235,0.1765,0.8235,0.1765,0.8235,0.1765,0.147,0.0065,16,4,4,2,1000,1000,False
PCBP2,0.4364595445204709,0.1539569440378945,0.997,0.003,0.997,0.0030000000000000027,0.997,0.003,0.8195,0.335,16,4,4,2,1000,1000,False
PCCB,0.0908697582219339,0.1463948888382547,0.735,0.265,0.735,0.265,0.735,0.265,0.084,0.0015,16,4,4,2,1000,1000,False
PCDH17,0.1386083637177929,0.095899328587222,0.9255,0.0745,0.9255,0.07450000000000001,0.9255,0.0745,0.046,0.0,16,4,4,2,1000,1000,False
PCDHA3,-0.1439499147100253,0.11953192574752,0.11,0.11,0.11,0.11,0.11,0.89,0.0915,0.002,16,4,4,2,1000,1000,False
PCDHB4,0.1187607374755354,0.0940934309631928,0.896,0.1039999999999999,0.896,0.10399999999999998,0.896,0.104,0.029,0.0,16,4,4,2,1000,1000,False
PCDHGA2,0.072157004133053,0.1481905214705161,0.6935,0.3065,0.6935,0.3065,0.6935,0.3065,0.07,0.0005,16,4,4,2,1000,1000,False
PCDHGB1,0.1257647722552792,0.0975199205804158,0.9005,0.0995,0.9005,0.09950000000000003,0.9005,0.0995,0.0335,0.0,16,4,4,2,1000,1000,False
PCDHGB6,-0.090720746078279,0.1038429843888068,0.1865,0.1865,0.1865,0.1865,0.1865,0.8135,0.0205,0.0,16,4,4,2,1000,1000,False
PCED1A,0.1391763281633662,0.0963120902728766,0.9255,0.0745,0.9255,0.07450000000000001,0.9255,0.0745,0.049,0.0,16,4,4,2,1000,1000,False
PCED1B,-0.1581333450511713,0.1047892461429286,0.061,0.061,0.061,0.061,0.061,0.939,0.0935,0.0,16,4,4,2,1000,1000,False
PCGF1,0.2601597239788226,0.1741281261495499,0.937,0.0629999999999999,0.9965,0.0034999999999999476,0.9965,0.0035,0.7625,0.2965,16,4,4,2,1000,1000,False
PCGF5,0.0926644175706616,0.174341342554271,0.696,0.304,0.9395,0.0605,0.9395,0.0605,0.347,0.0475,16,4,4,2,1000,1000,False
PCID2,0.077326307196012,0.1702477715213068,0.679,0.3209999999999999,0.919,0.08099999999999996,0.919,0.081,0.3295,0.0375,16,4,4,2,1000,1000,False
PCMTD1,0.131134828862299,0.114358176899364,0.876,0.124,0.876,0.124,0.876,0.124,0.0745,0.0,16,4,4,2,1000,1000,False
PCNP,-0.2545360514153913,0.1375000804145003,0.0232558139534883,0.0232558139534883,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.9767441860465116,0.3023255813953488,0.046511627906976744,16,4,4,2,1000,1000,False
PCSK1,0.2179665065494177,0.1068118386455528,0.978,0.022,0.978,0.02200000000000002,0.978,0.022,0.218,0.003,16,4,4,2,1000,1000,False
PCSK1N,0.1098875202425473,0.0990072565252196,0.8745,0.1254999999999999,0.8745,0.12549999999999994,0.8745,0.1255,0.027,0.0,16,4,4,2,1000,1000,False
PCSK7,-0.0890555515080028,0.0955423317960363,0.17,0.17,0.17,0.17,0.17,0.83,0.012,0.0,16,4,4,2,1000,1000,False
PCYT1A,0.0658893241773532,0.0948280287099617,0.746,0.254,0.746,0.254,0.746,0.254,0.004,0.0,16,4,4,2,1000,1000,False
PCYT2,-0.0600929488905836,0.0888712293343103,0.248,0.248,0.248,0.248,0.248,0.752,0.0055,0.0,16,4,4,2,1000,1000,False
PDCD6,0.1358944247224927,0.1063221833492543,0.9065,0.0935,0.9065,0.09350000000000003,0.9065,0.0935,0.0655,0.0,16,4,4,2,1000,1000,False
PDCL,0.2683427404273568,0.1169706237865423,0.989,0.011,0.989,0.01100000000000001,0.989,0.011,0.396,0.023,16,4,4,2,1000,1000,False
PDE7B,-0.1730308576218575,0.133630017845984,0.1162790697674418,0.1162790697674418,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.8837209302325582,0.16279069767441862,0.0,16,4,4,2,1000,1000,False
PDE8B,0.2327094338038536,0.1024010281812881,0.984,0.016,0.984,0.016000000000000014,0.984,0.016,0.257,0.0035,16,4,4,2,1000,1000,False
PDF,-0.0529761163621794,0.0886509565143175,0.2775,0.2775,0.2775,0.2775,0.2775,0.7225,0.002,0.0,16,4,4,2,1000,1000,False
PDGFB,0.0441902996575049,0.151327769410291,0.622,0.378,0.622,0.378,0.622,0.378,0.055,0.003,16,4,4,2,1000,1000,False
PDGFRA,-0.1534463808281259,0.112865643551372,0.0885,0.0885,0.0885,0.0885,0.0885,0.9115,0.096,0.0015,16,4,4,2,1000,1000,False
