gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
LRFN2,neg,1.0,0.0048818,-0.0,0.0048818,False
SLC44A1,neg,1.0,-0.058201,-0.0,0.058201,False
RTKN2,neg,1.0,-0.035761,-0.0,0.035761,False
MAPK10,neg,1.0,0.19454,-0.0,0.19454,False
CASR,neg,1.0,0.01379,-0.0,0.01379,False
TRIM37,neg,1.0,0.0067063,-0.0,0.0067063,False
BRF1,pos,0.396587,0.52354,0.40166152593706506,0.52354,False
LRFN1,neg,1.0,0.12382,-0.0,0.12382,False
SUSD6,neg,1.0,0.026991,-0.0,0.026991,False
POPDC2,neg,1.0,0.063051,-0.0,0.063051,False
MRPL46,neg,1.0,0.20624,-0.0,0.20624,False
CDHR5,neg,1.0,0.11263,-0.0,0.11263,False
TADA1,pos,0.00099,1.3027,3.00436480540245,1.3027,True
CARD9,neg,1.0,0.082383,-0.0,0.082383,False
CYP26B1,neg,1.0,0.15725,-0.0,0.15725,False
TLE1,neg,1.0,0.036796,-0.0,0.036796,False
PGBD1,neg,1.0,0.008246,-0.0,0.008246,False
ACTA2,neg,1.0,0.13981,-0.0,0.13981,False
C9orf64,neg,1.0,0.12302,-0.0,0.12302,False
RRP36,neg,1.0,0.052001,-0.0,0.052001,False
TRAT1,neg,1.0,0.36469,-0.0,0.36469,False
CDA,neg,1.0,0.06085,-0.0,0.06085,False
APP,neg,1.0,0.18621,-0.0,0.18621,False
TOX4,neg,1.0,0.19748,-0.0,0.19748,False
TLL1,neg,1.0,0.066917,-0.0,0.066917,False
GPBP1,neg,1.0,0.14696,-0.0,0.14696,False
ADARB2,neg,1.0,-0.014091,-0.0,0.014091,False
UBA2,pos,0.769431,0.33513,0.11383032016369266,0.33513,False
GNG7,neg,1.0,0.038672,-0.0,0.038672,False
BCL10,neg,1.0,0.13479,-0.0,0.13479,False
HIST1H2BL,pos,0.827419,0.52465,0.08227451063362376,0.52465,False
FKRP,neg,1.0,-0.037445,-0.0,0.037445,False
AKT1,neg,1.0,0.16595,-0.0,0.16595,False
VCX3B,neg,1.0,-0.05411,-0.0,0.05411,False
NOX3,neg,1.0,0.15335,-0.0,0.15335,False
CDIPT,neg,1.0,0.12298,-0.0,0.12298,False
RPL7A,neg,1.0,0.32735,-0.0,0.32735,False
CA12,neg,1.0,0.075736,-0.0,0.075736,False
NTS,neg,1.0,0.2425,-0.0,0.2425,False
VPS4A,neg,1.0,0.032873,-0.0,0.032873,False
FAM71F2,neg,1.0,0.103,-0.0,0.103,False
EHD4,pos,0.880158,0.32725,0.055439359248915986,0.32725,False
TGFB1I1,neg,1.0,0.26305,-0.0,0.26305,False
PLXNB1,neg,1.0,0.092316,-0.0,0.092316,False
