param,mean_of_mean,std_of_mean,range_of_mean,pct_change_mean,rhat_mean,rhat_std,rhat_range,ess_bulk_mean,ess_bulk_std,ess_bulk_range
phi,16.313499999999998,0.676602283472351,2.5649999999999995,0.15723174058295275,1.0,0.0,0.0,2024.5,337.5154070557372,1241.0
tau_beta,0.2384,0.02044113499784197,0.07099999999999998,0.2978187919463086,1.0,0.0,0.0,3624.9,363.3399097264158,1475.0
tau_u,0.6309,0.015782585339544356,0.05700000000000005,0.09034712315739428,1.0,0.0,0.0,1575.0,223.4166511252015,748.0
