gene,baseMean,n_sgrna,median_lfc,sign_consistency,mad_lfc,wald_beta,wald_se,wald_z,wald_p,composite_rank,confirm_sign_consistency
DAD1,340.6264645317091,4,3.775819542058181,1.0,0.3415673752044125,2.7305713073829203,0.056622301895942966,48.22430766592638,0.0,966.5,1.0
TGFBR1,692.7437113916669,4,3.5169119229758596,1.0,0.6944208143581375,1.9835606011751248,0.029174332356263422,67.98992268110209,0.0,967.5,1.0
SMARCB1,2196.3852120651068,4,3.375132832527322,1.0,0.2815721368971784,2.4716791677048704,0.019938292000684595,123.9664444487022,0.0,968.5,1.0
TGFBR2,650.7171691682693,4,3.2493494024459,1.0,0.6418375894629224,1.9916983486163122,0.03019504165053297,65.96110618649062,0.0,969.5,1.0
SMAD3,694.1878466062046,4,3.0338027903915483,1.0,0.44072364461940683,2.132464846263865,0.030871833802014623,69.07477087171625,0.0,971.5,1.0
SMAD4,424.97696704013936,4,2.665467975966554,1.0,0.3243819197053144,1.945946372438569,0.03672029978549701,52.99374961004912,0.0,972.5,1.0
USO1,781.3882965798638,4,2.6019305012890768,1.0,0.3599155258769161,1.7273374460778705,0.025017567084847293,69.0449810814773,0.0,973.5,1.0
STAT5B,354.2789452101657,4,2.3920522820530152,1.0,0.3852352244518159,1.5687377769386703,0.03520930525367739,44.55463593036462,0.0,974.5,1.0
RPN1,736.0239208692076,4,2.343541168629167,1.0,0.4408530604246732,1.9954862096420292,0.028436410881428904,70.17363119286023,0.0,975.5,1.0
CD3D,328.5019292912386,4,2.2448667046892252,1.0,0.2520079505722678,1.5116922545206046,0.03589561856988866,42.11355911243999,0.0,976.5,1.0
ARID1A,784.0562376422574,4,2.107556149972611,1.0,0.3412427456558173,1.5321784231955098,0.023387548476802453,65.51257070467393,0.0,977.5,1.0
HDAC3,596.3682026820662,4,-2.0812946420653153,1.0,0.1716988742777959,-1.3322493732740437,0.025155800428117978,-52.95992775427323,0.0,978.5,1.0
ALG2,305.09864027309305,4,2.013951703099152,1.0,0.3706626880818544,1.4340960380730663,0.036353800096598304,39.44831171053442,0.0,979.5,1.0
TAF6,209.230271493163,4,1.9881856440514027,1.0,0.27597255940795157,1.2354656406540174,0.0414270289706528,29.822694780483292,0.0,980.5,1.0
TMEM258,494.93596809405193,4,1.943620977317726,1.0,0.18751252179119066,1.369574694908494,0.027989438837060485,48.93183828662746,0.0,981.5,1.0
MIDN,707.4650761190235,4,1.8818590053637154,1.0,0.46343135972747584,0.9745426519609777,0.021092668267821937,46.20290992049109,0.0,983.5,1.0
MED11,414.83256412063247,4,1.8614428310179107,1.0,0.7548645616375336,0.5879814685928908,0.025634256056598935,22.93733304741367,0.0,984.5,1.0
GMPPB,283.82508915101164,4,1.8285319133336897,1.0,0.20192685101673685,1.1291334050937079,0.03457046270005777,32.66179613765542,0.0,985.5,1.0
RPN2,507.7255756254526,4,1.8229492422825833,1.0,0.509019252037522,1.0714555467455116,0.025477537319254902,42.05491030468429,0.0,986.5,1.0
MED30,210.80191259407104,4,1.8081506694738694,1.0,0.39801423701069566,1.4360642070673801,0.04375548580270828,32.82020941425575,0.0,987.5,1.0
DHX36,347.84802219823024,4,1.737110487361195,1.0,0.0961617380863024,1.0935588084159387,0.030949129510775684,35.33407322603984,0.0,989.5,1.0
LCP2,441.8292570327181,4,1.7354176398759076,1.0,0.49214696912286426,1.5110873880845963,0.03094446784739899,48.832230547199714,0.0,990.5,1.0
GFPT1,203.05008602041931,4,1.7329473204147559,1.0,0.6344972524060247,1.23777980918581,0.04207715443067417,29.416908674876332,0.0,991.5,1.0
