gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
2023-03-01 00:00:00,0.080945207724002,1.5665168278530832,0.11494520954412,3,0.843,0.7084472251108588,1000,32,0.157,4,1500,0.4684258567770211,5,8,0.0807066586703394,0.004,0.0,0.843,0.157,0.843,0.15700000000000003,False
2023-03-02 00:00:00,0.0863661266420265,1.5627110919231797,0.11494520954412,3,0.2473333333333333,0.7084472251108588,1000,32,0.2473333333333333,4,1500,0.4684258567770211,2,8,-0.0577449228754946,0.0023333333333333335,0.0,0.24733333333333332,0.7526666666666667,0.24733333333333332,0.24733333333333332,False
2023-03-04 00:00:00,0.1083999650893117,1.5639467862677976,0.11494520954412,3,0.8206666666666667,0.7084472251108588,1000,16,0.1793333333333333,4,1500,0.4684258567770211,3,4,0.1010816622539006,0.030333333333333334,0.0,0.8206666666666667,0.17933333333333334,0.8206666666666667,0.17933333333333334,False
2023-03-05 00:00:00,0.1172964312374564,1.5665168278530832,0.11494520954412,3,0.1626666666666666,0.7084472251108588,1000,16,0.1626666666666666,4,1500,0.4684258567770211,5,4,-0.1155473977538675,0.056,0.0,0.16266666666666665,0.8373333333333334,0.16266666666666665,0.16266666666666665,False
2023-09-02 00:00:00,0.1081917722505123,1.5697311140197716,0.11494520954412,3,0.0726666666666666,0.7084472251108588,1000,16,0.0726666666666666,4,1500,0.4684258567770211,6,4,-0.1541210881374069,0.09066666666666667,0.001,0.07266666666666667,0.9273333333333333,0.07266666666666667,0.07266666666666667,False
2023-09-04 00:00:00,0.1121135478271048,1.5639467862677976,0.11494520954412,3,0.9093333333333332,0.7084472251108588,1000,16,0.0906666666666666,4,1500,0.4684258567770211,3,4,0.1482964704776271,0.087,0.0003333333333333333,0.9093333333333333,0.09066666666666667,0.9093333333333333,0.09066666666666667,False
2023-09-05 00:00:00,0.122298333525745,1.550234325699251,0.11494520954412,3,0.009,0.7084472251108588,1000,16,0.009,4,1500,0.4684258567770211,4,4,-0.2948009479886631,0.48966666666666664,0.043666666666666666,0.009,0.991,0.009,0.009,False
2023-09-07 00:00:00,0.1095492353907055,1.5697311140197716,0.11494520954412,3,0.0656666666666666,0.7084472251108588,1000,16,0.0656666666666666,4,1500,0.4684258567770211,6,4,-0.170010112107872,0.11266666666666666,0.0013333333333333333,0.06566666666666666,0.9343333333333333,0.06566666666666666,0.06566666666666666,False
2023-09-12 00:00:00,0.1189712408795,1.5556958958618938,0.11494520954412,3,0.156,0.7084472251108588,1000,16,0.156,4,1500,0.4684258567770211,8,4,-0.1202723505236496,0.059,0.0006666666666666666,0.156,0.844,0.156,0.156,False
2023-09-15 00:00:00,0.1193015778429002,1.5556958958618938,0.11494520954412,3,0.9433333333333334,0.7084472251108588,1000,16,0.0566666666666666,4,1500,0.4684258567770211,8,4,0.1883037030505254,0.16966666666666666,0.006,0.9433333333333334,0.056666666666666664,0.9433333333333334,0.05666666666666664,False
