gene,chains,tune,beta_mean_nuts,psp_nuts,lfsr_nuts,n_obs,beta_sd_nuts,n_sgrna,draws,n_sample,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
ADGRL3,2,1000,-0.1019563631394961,0.133,0.133,16,0.0918048604805473,4,1000,4,0.0145,0.0,0.133,0.867,0.133,0.133,False
ADH1A,2,1000,0.1673295951612143,0.932,0.0679999999999999,16,0.1125686749460982,4,1000,4,0.115,0.001,0.932,0.068,0.932,0.06799999999999995,False
ADHFE1,2,1000,0.2073945784360328,0.984,0.016,16,0.1013956034891848,4,1000,4,0.191,0.002,0.984,0.016,0.984,0.016000000000000014,False
ADM5,2,1000,-0.1415379178275082,0.1165,0.1165,16,0.1164165207398623,4,1000,4,0.093,0.001,0.1165,0.8835,0.1165,0.1165,False
ADNP,2,1000,-0.0879999436160616,0.1555,0.1555,16,0.0880171247162141,4,1000,4,0.0105,0.0,0.1555,0.8445,0.1555,0.1555,False
ADNP2,2,1000,0.1317410235528775,0.9,0.0999999999999999,16,0.1032025142949618,4,1000,4,0.0495,0.0005,0.9,0.1,0.9,0.09999999999999998,False
ADORA2B,2,1000,0.1532728239753055,0.908,0.0919999999999999,16,0.1161505624298815,4,1000,4,0.105,0.0015,0.908,0.092,0.908,0.09199999999999997,False
ADRA2B,2,1000,0.1125960519491759,0.892,0.1079999999999999,16,0.0918716835809291,4,1000,4,0.0235,0.0,0.892,0.108,0.892,0.10799999999999998,False
ADRA2C,2,1000,-0.1129409165527078,0.1525,0.1525,16,0.1101572101734062,4,1000,4,0.0415,0.0,0.1525,0.8475,0.1525,0.1525,False
ADRBK2,2,1000,-0.1122592287759908,0.112,0.112,16,0.0953468807371784,4,1000,4,0.028,0.0,0.112,0.888,0.112,0.112,False
AEBP2,2,1000,-0.3437560211942582,0.0,0.0,16,0.106542323132998,4,1000,4,0.6976744186046512,0.046511627906976744,0.0,1.0,0.0,0.0,False
AFF2,2,1000,-0.1419744342089613,0.0985,0.0985,16,0.1077234854631457,4,1000,4,0.076,0.0005,0.0985,0.9015,0.0985,0.0985,False
AFG3L2,2,1000,0.1700723382973113,0.9535,0.0464999999999999,16,0.1051959736596586,4,1000,4,0.1065,0.002,0.9535,0.0465,0.9535,0.046499999999999986,False
AGAP3,2,1000,-0.1707803385626995,0.056,0.056,16,0.1092206750078923,4,1000,4,0.126,0.001,0.056,0.944,0.056,0.056,False
AGBL1,2,1000,-0.1334680653392249,0.0785,0.0785,16,0.0935940919679448,4,1000,4,0.036,0.0,0.0785,0.9215,0.0785,0.0785,False
