gene,beta_mean,beta_sd,psp,lfsr,gamma_mean,phi_mean,n_sgrna,n_sample,chains,draws,tune,p_abs_beta_ge_0_3,hit
ALG13,0.6390959411523186,0.5480141493466386,0.892,0.1079999999999999,5.077457208126316,2.9204605932941163,4,4,2,1000,1000,0.716,False
ALG2,0.9021384397993576,0.5762906799788822,0.9515,0.0484999999999999,4.571050538175499,3.823486445710532,4,4,2,1000,1000,0.841,True
ANKRD17,-0.4724944136146873,0.5033582855490953,0.155,0.155,4.98250383876876,3.8237606627204768,4,4,2,1000,1000,0.602,False
ARGLU1,-0.167845316309563,0.3851254329681959,0.3515,0.3515,5.592039484775103,4.449972651521914,4,4,2,1000,1000,0.384,False
ARID1A,0.941716212606982,0.5753596596449244,0.965,0.035,5.318656717253098,4.063174850009291,4,4,2,1000,1000,0.858,True
ARMC7,0.5076934247832848,0.4959381752953121,0.857,0.143,4.802870550328266,4.54229135797039,4,4,2,1000,1000,0.625,False
ASF1A,-0.1810177634253708,0.3967186281381761,0.3315,0.3315,4.973731011123663,4.494238037418054,4,4,2,1000,1000,0.414,False
BHLHE40,-0.2555083983687706,0.4061903251477556,0.272,0.272,5.502514918385375,4.000801107544353,4,4,2,1000,1000,0.4615,False
CBFB,0.5884637604054905,0.5555489483931032,0.843,0.157,5.371704868483782,3.2524576145352,4,4,2,1000,1000,0.646,False
CCDC6,-0.2878282845053829,0.4117926808510067,0.248,0.248,5.151059201139504,4.002873238918703,4,4,2,1000,1000,0.48,False
CCNC,-0.3802459432195696,0.4615711150157326,0.202,0.202,5.5958514433950945,3.771983981210769,4,4,2,1000,1000,0.5405,False
CD3D,1.137036384904864,0.5598033644574687,0.9825,0.0174999999999999,4.925157218921882,4.1204437435954135,4,4,2,1000,1000,0.9355,True
CD3E,0.681129120887965,0.5345266063194793,0.9105,0.0895,5.402618343103454,3.926227172730065,4,4,2,1000,1000,0.7375,False
CREBBP,-0.4120664018682932,0.4859306997544968,0.1925,0.1925,5.055783313758993,3.899025527806976,4,4,2,1000,1000,0.552,False
DAD1,2.312489867205326,0.5893269184783103,1.0,0.0,4.87004228524815,4.0938688008696635,4,4,2,1000,1000,1.0,True
DDOST,0.4409026491449625,0.4814351472896129,0.8225,0.1775,4.995517929783213,3.9962725228714966,4,4,2,1000,1000,0.582,False
DHX36,0.6927125704066259,0.519497016450625,0.924,0.0759999999999999,5.362782984519535,4.419753020289166,4,4,2,1000,1000,0.749,False
DNMT1,-0.2822770752006885,0.4302455079047229,0.268,0.268,4.707655964844202,2.8164032967232577,4,4,2,1000,1000,0.4625,False
DPF2,0.6939935657470607,0.5312158848978914,0.9205,0.0795,5.747559112477471,3.695174880955849,4,4,2,1000,1000,0.746,False
DSCC1,-0.2796314031995649,0.4237432607516395,0.267,0.267,5.259187478074484,4.314024677683829,4,4,2,1000,1000,0.4595,False
FOXP3,1.7357842992572132,0.5030954048903483,1.0,0.0,6.5510555996095485,2.67902663836866,50,4,2,1000,1000,0.998,True
FUS,-0.2749630638994591,0.4065834891699555,0.2535,0.2535,5.315057555590141,4.2933743200126715,4,4,2,1000,1000,0.455,False
GFPT1,0.7285824138973656,0.4812937147172388,0.934,0.0659999999999999,4.834800450711778,3.423863751478563,4,4,2,1000,1000,0.8245,True
GMPPB,0.7391175225849677,0.5404197233620047,0.923,0.0769999999999999,4.825557838845844,4.331486649383783,4,4,2,1000,1000,0.7695,False
GPN2,0.6879031211359088,0.5759150409016669,0.893,0.1069999999999999,4.964790701437693,2.820594226326852,4,4,2,1000,1000,0.7345,False
GPS2,-0.4555627627036143,0.4761384360493382,0.162,0.162,5.127928551098989,4.152009895468307,4,4,2,1000,1000,0.587,False
GRB2,-0.2953290823027053,0.4252516164445496,0.248,0.248,5.8326722325597125,4.55656613615198,4,4,2,1000,1000,0.484,False
HDAC3,-0.9193527336595386,0.5790495603282064,0.0425,0.0425,5.610873065595178,4.37952010401876,4,4,2,1000,1000,0.8385,True
