gene,effect_mean,effect_var,k,sigma2,tau2,post_mean,post_se,z,p_two,lfdr,p_abs_ge_thr,hit
2023-03-01 00:00:00,0.12720269143793123,0.1490060185002428,16,0.009312876156265176,0.02133913902715923,0.0885552189955428,0.08051945826556156,1.0997989914869828,0.2714197118596253,0.9999435159571005,0.004320331016685063,False
2023-03-02 00:00:00,-0.10407604672607974,0.24745110362986533,16,0.015465693976866583,0.02133913902715923,-0.06034243465367737,0.09469362165562752,-0.637238639716673,0.5239694124142946,0.9999435159571005,0.005759747579032563,False
2023-03-03 00:00:00,-0.13838684501329898,0.3638213706897722,8,0.04547767133622153,0.02133913902715923,-0.04419630492998149,0.12051599365850801,-0.36672564021017295,0.7138236789787437,0.9999435159571005,0.01903985723552311,False
2023-03-04 00:00:00,0.2059522743521403,0.18497926615260257,8,0.02312240826907532,0.02133913902715923,0.09884595752096467,0.10534470052257781,0.9383097301584685,0.34808526079432434,0.9999435159571005,0.028176342164023562,False
2023-03-05 00:00:00,-0.2136571186879132,0.145238893540124,8,0.0181548616925155,0.02133913902715923,-0.11544181082551998,0.09904198911490578,-1.1655845349752374,0.24378246350405097,0.9999435159571005,0.031214297342558133,False
2023-03-06 00:00:00,-0.07737431315597647,0.1002530739136039,8,0.012531634239200487,0.02133913902715923,-0.04874707797728972,0.08885456518021433,-0.548616470953644,0.5832686799805387,0.9999435159571005,0.0023876584960083394,False
2023-03-07 00:00:00,0.05023311466249849,0.09530758137860725,8,0.011913447672325906,0.02133913902715923,0.032236031056401486,0.08743684128025149,0.3686779003495672,0.7123678230987831,0.9999435159571005,0.0011703868929155356,False
2023-03-08 00:00:00,-0.22392729505280215,0.0926530750545589,8,0.011581634381819863,0.02133913902715923,-0.1451489496235269,0.08664397273226389,-1.6752342378395737,0.09388828243669682,0.9999435159571005,0.03695184517324893,False
2023-03-09 00:00:00,0.0026051620306902137,0.11769463831464182,8,0.014711829789330227,0.02133913902715923,0.0015420366382982635,0.09331754871877727,0.01652461578202575,0.9868158642135036,0.9999435159571005,0.0013072166255991733,False
2023-03-10 00:00:00,0.17130008798168858,0.09354544322874604,8,0.011693180403593255,0.02133913902715923,0.11066120865260079,0.08691309922892113,1.2732397030409572,0.20293299584800684,0.9999435159571005,0.014686163875813252,False
2023-03-11 00:00:00,0.19246824772051108,0.20311786451253608,8,0.02538973306406701,0.02133913902715923,0.08789227115098407,0.10767747543345882,0.8162549390870389,0.4143543407507957,0.9999435159571005,0.024585854214257585,False
2023-09-01 00:00:00,-0.00861000332382339,0.19527306578608664,8,0.02440913322326083,0.02133913902715923,-0.004016109219287147,0.10670315893401323,-0.03763814735579447,0.9699761922667031,0.9999435159571005,0.0049610645560307165,False
2023-09-02 00:00:00,-0.26691480925414174,0.3939274662788807,8,0.04924093328486009,0.02133913902715923,-0.08069887202583485,0.12201424440632185,-0.6613889420738294,0.5083629155686427,0.9999435159571005,0.03704469221167361,False
2023-09-03 00:00:00,-0.07846477575317612,0.08673182348713739,8,0.010841477935892173,0.02133913902715923,-0.05203041198539943,0.08478821815481928,-0.6136514378730586,0.5394456850901488,0.9999435159571005,0.001741117038256377,False
2023-09-04 00:00:00,0.31497403033905835,0.2726807425867316,8,0.03408509282334145,0.02133913902715923,0.1212696035459645,0.11455679259850189,1.0585981048805166,0.2897828503598656,0.9999435159571005,0.05947527669088692,False
2023-09-05 00:00:00,-0.5840391604759858,0.5953368041531586,8,0.07441710051914482,0.02133913902715923,-0.13015227938933255,0.12877788187821934,-1.0106726208807575,0.3121731453625384,0.9999435159571005,0.09401642598186372,False
2023-09-06 00:00:00,-0.2643167835903991,0.38860111594253155,8,0.048575139492816444,0.02133913902715923,-0.0806744017337683,0.12176221350909565,-0.6625569576044371,0.5076143446236074,0.9999435159571005,0.0367157065337304,False
2023-09-07 00:00:00,-0.3489329428176383,0.3743897787367398,8,0.04679872234209247,0.02133913902715923,-0.10927740360958084,0.1210629341597031,-0.9026495546971042,0.36671191731757735,0.9999435159571005,0.05794353245666602,False
2023-09-08 00:00:00,0.06186783350806323,0.2109170303264976,8,0.0263646287908122,0.02133913902715923,0.027675094880877323,0.10859827719097367,0.25483917053499616,0.7988473201059669,0.9999435159571005,0.007352224740671639,False
2023-09-09 00:00:00,-0.11355721805345512,0.2301104556578549,8,0.028763806957231863,0.02133913902715923,-0.04836468626685214,0.11068276450103183,-0.4369667353800263,0.6621354724869956,0.9999435159571005,0.01232216626743733,False
2023-09-10 00:00:00,-0.06639601425195697,0.08777600338857457,8,0.01097200042357182,0.02133913902715923,-0.04384970022899328,0.08512462612671517,-0.515123557356003,0.6064666820066387,0.9999435159571005,0.0013368214408723007,False
2023-09-11 00:00:00,0.2611539434238912,0.5711375839951389,8,0.07139219799939236,0.02133913902715923,0.06009619277480751,0.12817418427563265,0.4688634697730818,0.639167229060031,0.9999435159571005,0.03310543695841523,False
2023-09-12 00:00:00,-0.17932030613852928,0.12228625612441628,8,0.015285782015552035,0.02133913902715923,-0.10447915883887898,0.09437216729316655,-1.107097164721407,0.2682519212551052,0.9999435159571005,0.019150855130292938,False
2023-09-14 00:00:00,-0.02240521453483195,0.24797018101054807,8,0.03099627262631851,0.02133913902715923,-0.009135458627090724,0.11242046057331227,-0.08126152997863993,0.9352339674020634,0.9999435159571005,0.00781812783313137,False
2023-09-15 00:00:00,0.3830583755977811,0.20328756821385308,8,0.025410946026731634,0.02133913902715923,0.17484750932487386,0.10769800553745484,1.623498118208568,0.10448296530629331,0.9999435159571005,0.1226089532958833,False
