gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
HDAC3,neg,0.000225,-1.9595,3.6478174818886377,1.9595,True
ZBTB7B,neg,0.000225,-1.4922,3.6478174818886377,1.4922,True
ZC3H12A,neg,0.000225,-1.1337,3.6478174818886377,1.1337,True
NCOR2,neg,0.000225,-1.1135,3.6478174818886377,1.1135,True
CCNC,neg,0.000225,-0.78938,3.6478174818886377,0.78938,True
HIRA,neg,0.000225,-1.1016,3.6478174818886377,1.1016,True
PRKAR1A,neg,0.000225,-0.85812,3.6478174818886377,0.85812,True
ITPKB,neg,0.000225,-0.94231,3.6478174818886377,0.94231,True
TLE3,neg,0.000225,-1.1792,3.6478174818886377,1.1792,True
RBPJ,neg,0.000225,-1.5297,3.6478174818886377,1.5297,True
MTF1,neg,0.000225,-1.0683,3.6478174818886377,1.0683,True
GRB2,neg,0.000225,-0.85893,3.6478174818886377,0.85893,True
PFN1,neg,0.000225,-1.1524,3.6478174818886377,1.1524,True
C16orf72,neg,0.000225,-0.91205,3.6478174818886377,0.91205,True
GPS2,neg,0.000225,-0.99538,3.6478174818886377,0.99538,True
TBL1XR1,neg,0.000225,-1.3007,3.6478174818886377,1.3007,True
BRK1,neg,0.000225,-1.0504,3.6478174818886377,1.0504,True
UHRF1,neg,0.000225,-1.6346,3.6478174818886377,1.6346,True
IRF4,neg,0.000225,-1.4469,3.6478174818886377,1.4469,True
CREBBP,neg,0.000225,-1.1008,3.6478174818886377,1.1008,True
STK11,neg,0.000225,-0.93286,3.6478174818886377,0.93286,True
TSR3,neg,0.000646,-0.75919,3.1897674820049158,0.75919,True
TNRC18,neg,0.000952,-0.93992,3.0213630516155257,0.93992,True
CHD1,neg,0.000952,-0.72634,3.0213630516155257,0.72634,True
SIK3,neg,0.000952,-1.0074,3.0213630516155257,1.0074,True
BAZ1B,neg,0.001155,-0.99342,2.937418015771837,0.99342,True
NCKAP1L,neg,0.001155,-0.88128,2.937418015771837,0.88128,True
EED,neg,0.001155,-0.7999,2.937418015771837,0.7999,True
AIP,neg,0.001155,-1.1047,2.937418015771837,1.1047,True
FBXO42,neg,0.001392,-0.76914,2.8563607647254567,0.76914,True
JUNB,neg,0.001392,-0.82832,2.8563607647254567,0.82832,True
ANKRD17,neg,0.00225,-1.3719,2.6478174818886377,1.3719,True
ETS1,neg,0.002338,-1.4307,2.6311554931741785,1.4307,True
VAPA,neg,0.002338,-0.68812,2.6311554931741785,0.68812,True
CABIN1,neg,0.002338,-0.92788,2.6311554931741785,0.92788,True
CCDC6,neg,0.003077,-0.7922,2.511872503752542,0.7922,True
